116/122/A-180 Z light pillbox		49 57 30.7 N	14 05 23.85 E
LWL-Freilichtmuseum Detmold	The LWL-Freilichtmuseum Detmold (earlier name: Westfälisches Freilichtmuseum Detmold) is a museum for folklife studies in the town of Detmold, Germany.	51 55 25 N	8 52 12 E
Madone		45 39 00 N	9 32 53 E
Magasin-caverne du Salbert		47 39 20.34 N	6 49 22.79 E
Magazzini del Cotone di Genova	I Magazzini del Cotone sono una delle principali strutture del porto antico di Genova.	44 24 29.75 N	8 55 16.68 E
Mahabodhi Temple	The Mahabodhi Temple is a Buddhist temple in Bodh Gaya, the location where Siddhartha Gautama, the Buddha, attained enlightenment.	24 41 46 N	84 59 29 E
Maison de François Coignet		48 55 51.24 N	2 20 30.44 E
Maison de la Mutualité		48 50 55.5 N	2 21 02 E
Maisons de la rue Jeanne-Mance		45 30 31.9 N	73 34 11.02 W
Manneken Pis van Brussel	Manneken Pis in Brussels	50 50 42 N	4 21 00 E
Manufacture nationale de Sèvres		48 49 43 N	2 13 21 E
Manzaneda	Manzaneda is a municipality in Galicia, in the province of Ourense.	42 18 35.33 N	7 13 58.01 W
Margaret Eagan Sullivan Park, Anchorage, Alaska		61 12 31 N	149 55 16 W
Marienkirche Witzwort		54 23 58.86 N	8 59 06.17 E
Marín		42 23 31.28 N	8 42 16.58 W
Mary's Tomb		31 46 48.5 N	35 14 21.41 E
Maside	Maside is a municipality in Galicia, in the province of Ourense.	42 24 44.75 N	8 01 31.85 W
Matitone (Genova)	Il Matitone è un grattacielo di Genova dalla struttura a forma di lapis. È situato nella zona portuale di San Benigno, a breve distanza dalla torre della Lanterna.	44 24 40.59 N	8 54 25.07 E
Matteus kyrka, Stockholm		59 20 43.08 N	18 02 32.94 E
Maximiliansbrücke in München		48 08 12.42 N	11 35 31.45 E
Meaño	Meaño is a municipality in Galicia, Spain in the province of Pontevedra.	42 26 31.95 N	8 46 46.02 W
Meis	Meis is a municipality in Galicia, Spain in the province of Pontevedra.	42 30 49.01 N	8 41 27.14 W
Melón	Melón is a municipality in Galicia, in the province of Ourense.	42 15 26.97 N	8 13 01.51 W
Mérida (Spain)		38 54 56.88 N	6 19 59.88 W
Mii-dera	Mii-dera 三井寺, formally Onjōji 園城寺, is a Tendai Buddhist temple in the city of Otsu, Shiga Prefecture, Japan.	35 00 48.09 N	135 51 10.26 E
Millennium Town Park	The Millennium Town Park is a public park in Saint Helier, Jersey.	49 11 15.01 N	2 06 06.95 W
Mindener Dom	Cathedral in Minden, District of Minden-Lübbecke, North Rhine-Westphalia, Germany.	52 17 19.85 N	8 55 09.94 E
Mindener Kreisbahnen	Kreisbahnen Minden, ein Unternehmen aus dem 19. Jahrhundert, das in Abwandlungen noch heute besteht.	52 18 01.14 N	8 54 50.98 E
Minden	Minden is a German city in North Rhine-Westphalia.	52 17 20.18 N	8 55 04.19 E
Mittagskogel	Mittagskogel is a peak in the Karawanken mountain chain in Carinthia / Austria / EU.	46 30 26.54 N	13 57 08.1 E
Moaña	Moaña is a municipality in Galicia, Spain in the province of Pontevedra.	42 17 05.52 N	8 44 57.56 W
Moe, Victoria		38 10 20 S	146 16 04 E
Möja kyrka		59 24 18.8 N	18 52 53 E
Molino Stucky	Il Molino Stucky è uno storico edificio di Venezia. È un esempio di architettura industriale neogotica.	45 25 41.55 N	12 19 11.95 E
Monastery of San Paio de Diomondi		42 36 13.6 N	7 42 34.1 W
Monforte de Lemos		42 31 19.98 N	7 30 46.56 W
Mońki	Railway station	53 24 00 N	22 47 00 E
Monte Amiata	Il Monte Amiata è un monte situato nella Toscana.	42 53 15.9 N	11 37 27.73 E
Monterrei	Monterrei is a municipality in Galicia, in the province of Ourense.	41 56 51.19 N	7 26 58.52 W
Montevideo	Montevideo is the capital and largest city of Uruguay.	34 52 01 S	56 10 00 W
Montmartre Cemetery	Montmartre Cemetery (Fr: Cimetière de Montmartre) is a famous cemetery located at 37 Avenue Samson, in the 18th arrondissement of Paris, France.	48 53 16.08 N	2 19 49.08 E
Monument de Joseph Sec	Monument Joseph Sec, 8 avenue Pasteur, Aix-en-Provence, France.	43 31 59.44 N	5 26 46.71 E
Monument international de la Réformation		46 12 00.78 N	6 08 45.19 E
Mos	Mos is a municipality in Galicia, Spain in the province of Pontevedra.	42 11 39.08 N	8 39 11.19 W
Mössingen		48 24 23 N	9 03 27 E
Mosteiro de San Clodio de Leiro		42 22 02.61 N	8 06 54.12 W
Mosteiro de San Salvador de Celanova		42 09 06.55 N	7 57 24.85 W
Mosteiro de Santa María de Aciveiro		42 37 03 N	8 18 06 W
Mount Muir, Alaska	Chugach Mountains, Alaska	61 06 29 N	148 22 42 W
Mugardos	Mugardos is a municipality in the province A Coruña, Galicia, Spain.	43 27 43.7 N	8 15 12.52 W
Mühlen am Löbauer Wasser		51 12 02.21 N	14 39 21.09 E
Muros		42 46 28.69 N	9 03 23.75 W
Murray House		22 13 05.15 N	114 12 34.96 E
Murviel-lès-Béziers		43 26 29 N	3 08 42 E
Museo Archeologico Regionale Paolo Orsi	Archaeological Museum Paolo Orsi in Syracuse	37 04 34.36 N	15 17 10.89 E
Museo Civico d'Arte Antica di Torino	Il Museo Civico d'Arte Antica è un polo museale situato a Torino presso Palazzo Madama.	45 04 15.95 N	7 41 07.72 E
Museo della Storia del Genoa		44 24 37.8 N	8 56 11.39 E
Museo Regionale della Fauna Alpina - Alpenfaunamuseum "Beck-Peccoz"	Un museo sulla fauna alpina situato a Gressoney-Saint-Jean, in Valle d'Aosta, Italia.	45 46 35.57 N	7 49 36.84 E
Museum für Moderne Kunst	The Museum für Moderne Kunst (MMK) is an art museum in Frankfurt am Main.	50 06 42.56 N	8 41 03.86 E
Narón	Narón is a municipality in the province A Coruña, Galicia, Spain.	43 32 14.91 N	8 10 53.28 W
Naturschutzgebiet „Königsbrücker Heide“		51 20 07.58 N	13 52 06.67 E
Necrópole Megalítica da Lameira de Cima	Necrópole Megalítica da Lameira de Cima, freguesia de Antas, Penedono, Portugal.	40 56 09.92 N	7 20 57.52 W
Neda	Neda is a municipality in the province A Coruña, Galicia, Spain.	43 29 58.68 N	8 09 21.51 W
Neues Rathaus München		48 08 16.07 N	11 34 33.35 E
Neues Schloss, Stuttgart		48 46 41 N	9 10 55 E
New Mosque in Istanbul	New Mosque (Yeni Cami) in Istanbul	41 01 01.05 N	28 58 19.2 E
Niujie Mosque	The Niujie Mosque (Chinese: 牛街清真寺; pinyin: niújiē qīngzhēnsì) is the oldest mosque in Beijing, China. It was built in 996 and completely rebuilt under the Kangxi Emperor (1622-1722).	39 53 04 N	116 21 29 E
Nizza-Ufer	The Nizza bank is a park with mild microclimate at the Main river bank in Frankfurt am Main. The Park was constructed in 1860.	50 06 15.68 N	8 40 14.37 E
Noorderplantsoen	The Noorderplantsoen is a park in the Dutch city of Groningen.	53 13 25 N	6 33 20 E
Nordwestbahnhof, Vienna	Emergency quarters from Northwest Railway Wagon	13 46.81 N	16 22 58.91 E
Nulbay Park, Anchorage, Alaska		61 12 57 N	149 54 36 W
Nullamunjie Olive Grove, Victoria	Nullamunjie olive groves are situated in the mountains of eastern Victoria, Australia on the slopes of Mount Stawell and near the banks of the Tambo River.	37 11 05 S	147 43 58 E
O Barco de Valdeorras		42 24 38.82 N	6 58 33.51 W
Obermillstatt		46 48 36.91 N	13 35 29.41 E
Obervellach		46 55 55.76 N	13 12 06.68 E
O Bolo	O Bolo is a municipality in Galicia, in the province of Ourense.	42 18 27.11 N	7 05 52.28 W
O Carballiño		42 25 53.18 N	8 04 38.47 W
Ocean Park, Hong Kong		22 14 45.1 N	114 10 33.3 E
O Ézaro, Dumbría		42 54 38.2 N	9 07 54.12 W
O Grove		42 29 34.29 N	8 52 04.9 W
Ohr Somayach Synagogue	Ohr Somayach Synagogue, the main synagogue in Odessa, Ukraine	46 28 40.55 N	30 44 22.13 E
Oia	Oia is a municipality in Galicia, Spain in the province of Pontevedra.	42 00 06.45 N	8 52 30.54 W
Oímbra		41 53 07.94 N	7 28 19.78 W
Oleiros	Oleiros is a municipality in the province A Coruña, Galicia, Spain.	43 19 57.16 N	8 18 54.38 W
Oleiros, Ribeira		42 36 11.29 N	9 00 20.52 W
Olgastraße (Stuttgart)		48 46 04.17 N	9 10 44.23 E
O Pereiro de Aguiar	O Pereiro de Aguiar is a municipality in Galicia, in the province of Ourense.	42 20 47.83 N	7 48 06.62 W
O Porriño	O Porriño is a municipality in Galicia, Spain in the province of Pontevedra.	42 09 41.84 N	8 37 15 W
Oradour-sur-Glane	Oradour-sur-Glane was a village in the Limousin region of Vichy France that came under direct German control in 1942.	45 55 55 N	1 01 54 E
Orangerie (Neustrelitz)	Die Orangerie in Neustrelitz wurde bereits 1755 erbaut und erfuhr 1840 bis 1842 einen grundlegenden Umbau durch Friedrich Wilhelm Buttel.	53 21 40 N	13 03 27 E
Organización Médica Colegial de España	Spanish Medical Colleges Organization	40 24 57.24 N	3 41 49.49 W
O Rosal	O Rosal is a municipality in Galicia, Spain in the province of Pontevedra.	41 56 07.3 N	8 50 05.63 W
Ortigueira	Ortigueira is a municipality in the province A Coruña, Galicia, Spain.	43 41 12.94 N	7 51 10.47 W
Os Blancos	Os Blancos is a municipality in Galicia, in the province of Ourense.	41 59 50.61 N	7 45 12.34 W
Ouaisné		49 10 45.75 N	2 11 10.77 W
Oza-Cesuras	Oza-Cesuras, municipality in the province of A Coruña, in Galicia (Spain).	43 16 44.24 N	8 12 55.95 W
Ozurgeti	Ozurgeti is a town and the regional administrative centre of Western Georgian province of Guria, former Macharadze or Makharadze.	41 55 26.26 N	42 00 33.84 E
Palace and park of Versailles		48 48 15.85 N	2 07 23.38 E
Palácio de Estói		37 05 47.79 N	7 53 44.05 W
Palácio Nacional da Pena		38 47 15.24 N	9 23 25.75 W
Palácio Nacional de Mafra	O Palácio Nacional de Mafra é um palácio e mosteiro monumental de estilo neoclássico localizado em Mafra (Portugal) a poucos mais de 50 quilómetros de Lisboa.	38 56 12 N	9 19 35 W
Palais Brongniart	The Palais Brongniart was the site of the Paris Stock Exchange until 1987.	48 52 09.01 N	2 20 26.98 E
Palais de justice de Paris	Palais de Justice is a building complex on the Île-de-la-Cité in Paris. It was built on the site of the Palais de la Cité, the residence of the Kings of France until the 14th century.	48 51 20.6 N	2 20 42.18 E
Palais de l'Élysée		48 52 13 N	2 18 59 E
Palais des Papes	The Palais des Papes in Avignon, France was the residency of popes during the 14th and 15th century.	43 57 02 N	4 48 25 E
Palais ducal de Nevers	The Palais Ducal in Nevers, France	46 59 18 N	3 09 30 E
Palais du parlement de Bretagne		48 06 46.08 N	1 40 40.01 W
Palais du parlement du Dauphiné		45 11 35.97 N	5 43 42.86 E
Palais du Tau		49 15 11 N	4 02 04 E
Palais Garnier	The Palais Garnier, also known as Opéra Garnier or Opéra national de Paris is an opera house situated at the northern end of the avenue de l'Opera, in Paris.	48 52 19 N	2 19 54 E
Palais Idéal		45 15 22.85 N	5 01 42.74 E
Palais Longchamp		43 18 15.48 N	5 23 40.2 E
Palais Royal		48 51 52.5 N	2 20 15.1 E
Palmenhaus, Vienna	Vienna's Palmenhaus ('palm house', a Jugendstil greenhouse built in 1901) is a building in Vienna's 1st district, beneath 'Burggarten' and Hofburg.	48 12 18 N	16 22 01 E
Pamukkale	Pamukkale is a natural site and attraction and a UNESCO World Heritage Site in south-western Turkey.	37 55 25 N	29 07 24 E
Panthéon de Paris		48 50 46 N	2 20 45 E
Parc Astérix		49 08 07.08 N	2 34 18.12 E
Parc du Thabor		48 06 51 N	1 40 12 W
Parc Monceau	Parc Monceau is a public park situated in the 8th and 17th Arrondissements of Paris at the junction of Boulevard de Courcelles, Rue de Prony and Rue Georges Berger.	48 52 45.84 N	2 18 33.23 E
Parc Natural del Delta de l'Ebre	Village	40 42 09 N	0 48 32 E
Paris-Gare de Lyon		48 50 41 N	2 22 25 E
Passage Canal, Alaska	Chugach National Forest, Alaska	60 48 53 N	148 31 28 W
Penniman Glaciers	Chugach National Forest, Alaska	61 05 42 N	148 20 24 W
Petit Palais	The Petit Palais is a palace in Paris, France built for the Universal Exhibition in 1900. It now houses the Musée des Beaux-Arts de la Ville de Paris (Paris Museum of Fine Arts).	48 51 57.72 N	2 18 52.39 E
Petuelpark		48 10 39.64 N	11 34 45.32 E
Petuelring	The Petuelring is a street in Munich, part of the Mittlerer Ring around the city centre.	48 10 40.25 N	11 34 19 E
Petueltunnel	The Petueltunnel is a tunnel that runs beneath the Petuelring between the Boroughs Milbertshofen-Am Hart and Schwabing-West in Munich.	48 10 39.9 N	11 34 37.48 E
Pfaffendorf (Rietz-Neuendorf)		52 15 57.79 N	14 09 46.25 E
Pfarrkirche St. Bartholomäus in Friesach		46 57 04.28 N	14 24 18.19 E
Phare de Chassiron		46 02 48.12 N	1 24 37.01 W
Philadelphia City Hall	Philadelphia City Hall is the seat of government for the city of Philadelphia, Pennsylvania.	39 57 08.28 N	75 09 48.96 W
Piazza Corvetto (Genova)	Piazza Corvetto è una delle principali piazze di Genova	44 24 36.1 N	8 56 18.2 E
Piazza della Vittoria (Genoa)	Piazza della Vittoria è una delle principali piazze di Genova.	44 24 11.12 N	8 56 42.45 E
Piazza delle Erbe (Verona)		45 26 36.74 N	10 59 48.53 E
Piazza Navona	Piazza Navona is a square in Parione, the VI. Rione (district) from Rome, Italy.	41 53 56.21 N	12 28 23.15 E
Piazza Venezia	Piazza Venezia is Located in Rome.	41 53 47 N	12 28 57 E
Pieve di San Giorgio di Valpolicella	The Pieve di San Giorgio di Valpolicella is a particularly large and elaborate Pieve (ancient church) of the city of Sant'Ambrogio di Valpolicella, Italy.	45 32 07 N	10 51 00 E
Pigot Glacier	Chugach National Forest, Alaska	60 54 12 N	148 28 44 W
Piñor	Piñor is a municipality in Galicia, in the province of Ourense.	42 29 50.69 N	8 00 21.39 W
Piode	Piode è un comune della Valsesia, in provincia di Vercelli, Piemonte, Italia.	45 46 09.98 N	8 02 57.28 E
Plaça Catalunya	Plaça Catalunya (or Plaza de Cataluña in spanish) is a large square in central Barcelona.	41 23 13.21 N	2 10 12.09 E
Place de la Concorde	The Place de la Concorde is one of the major public squares in Paris, France.	48 51 56.16 N	2 19 15.96 E
Place des Vosges	Place des Vosges in Paris, France	48 51 20 N	2 21 56 E
Placer River Valley	Kenai Peninsula, Alaska	60 49 25 N	148 59 47 W
Plaridel Airport		14 53 27.91 N	120 51 09.9 E
Pont Ambroix	The Pont Ambroix was a Roman bridge across the Vidourle in Gallargues-le-Montueux, Gard department, and Villetelle, Hérault department, both Languedoc-Roussillon, France.	43 43 02 N	4 09 07 E
Pont Camille-de-Hogues		46 48 49.12 N	0 32 15.32 E
Pont de la Concorde		48 51 47.99 N	2 19 09.98 E
Pont du Gard	The Pont du Gard is a Roman aqueduct bridge near Nîmes, France.	43 56 50.28 N	4 32 07.8 E
Ponte de Rande	The Rande Bridge is a cable-stayed bridge near Vigo, Galicia, Spain.	42 17 18.66 N	8 39 37.45 W
Pontedeume		43 24 13.68 N	8 09 46.85 W
Ponte Sant'Angelo (Rome)	The Ponte Sant'Angelo is a Roman bridge across the Tiber in Rome, Italy.	41 54 06.46 N	12 27 59.24 E
Pontevedra		42 25 50.84 N	8 38 56.27 W
Pont Flavien	The Pont Flavien is a Roman bridge in Saint-Chamas, Bouches-du-Rhône department, Provence-Alpes-Côte d'Azur, France.	43 32 29 N	5 02 35 E
Pont Julien	The Pont Julien is a Roman bridge near Bonnieux, Vaucluse department, Provence-Alpes-Côte d’Azur, France.	43 51 45 N	5 18 28 E
Pont Neuf		48 51 26.81 N	2 20 29.82 E
Pont sur la Laye	The Pont sur la Laye is an old bridge across the Laye near Mane, Alpes-de-Haute-Provence department, Provence, France.	43 55 48 N	5 45 23.04 E
Pordoi Pass	The Pordoi Pass is an Alpine pass in the Dolomites.	46 29 19.33 N	11 48 52.54 E
Porta Pia		41 54 33 N	12 30 04 E
Porta san Sebastiano		41 52 25 N	12 30 07 E
Porta Soprana (Genova)	Porta Soprana a Genova.	44 24 19.76 N	8 56 05.6 E
Porta Westfalica		52 14 22.66 N	8 55 14.31 E
Porto antico di Genova		44 24 34.22 N	8 55 04.26 E
Porto Azzurro		42 46 05.02 N	10 23 48.33 E
Port of Kobe	Port of Kobe in Kobe, Hyōgo Prefecture, Japan	34 40 39.17 N	135 13 36.97 E
Portor, Negreira		42 54 45.44 N	8 41 52.17 W
Potemkin Stairs		46 29 18.75 N	30 44 31.18 E
Potter Marsh Anchorage		61 04 39 N	149 49 37 W
Praia de Cabanas		43 24 55.21 N	8 10 23.62 W
Prinzenbau Stuttgart		48 46 38.55 N	9 10 40.96 E
Promenade du Peyrou		43 36 40 N	3 52 15 E
Prytanée national militaire		47 42 10.09 N	0 04 35.77 W
Puerto de Navacerrada	El puerto de Navacerrada es un puerto de montaña a 1858 msnm de altitud, que alberga una estación de esquí y que está situado en la sierra de Guadarrama (Sistema Central).	40 47 19.04 N	4 00 13.23 W
Puits Arthur-de-Buyer		47 40 37.23 N	6 36 51.29 E
Punta Manara	Manara Bivouac	44 15 19.08 N	9 24 20.88 E
Punxín	Punxín is a municipality in Galicia, in the province of Ourense.	42 22 06.15 N	8 00 03.16 W
Quartier de Beaugrenelle		48 51 03.87 N	2 17 07.61 E
Radweg Arnsdorf-Guteborn		51 25 49.66 N	13 53 18.08 E
Rainy Glacier	Chugach National Forest, Alaska	60 38 39 N	148 32 37 W
Rairiz de Veiga		42 04 57.65 N	7 49 56.92 W
Ravensberger Bahn	Die Ravensberger Bahn ist eine Eisenbahnstrecke von Bielefeld nach Rahden.	52 13 36.48 N	8 31 20.75 E
Regattastrecke Oberschleißheim	Die Regattastrecke Oberschleißheim ist ein künstlicher, rechteckiger Grundwassersee im Norden von München, angelegt für die Olympischen Sommerspiele 1972.	48 14 33.67 N	11 30 54.38 E
Reggia di Caserta	La Reggia di Caserta, Palazzo Reale, è stata la dimora della dinastia dei Borboni, sovrani del Regno delle due Sicilie. È situata a Caserta, in Campania (Italia).	41 04 26.27 N	14 19 36.92 E
Reservoir in Stara Morawa	Reservoir in Stara Morawa near Stronie Śląskie (Lower Silesian Voivodeship, Poland)	50 16 31.15 N	16 52 47.84 E
Resurrection Peninsula	Kenai Peninsula, Alaska	59 56 53 N	149 16 41 W
Rianxo	Rianxo is a port town in Galicia, Spain, in the province of A Coruña.	42 38 38.62 N	8 48 44.67 W
Ribadavia		42 17 13.06 N	8 08 34.54 W
Ribadumia	Ribadumia is a municipality in Galicia, Spain in the province of Pontevedra.	42 30 50.38 N	8 45 25.68 W
Ribeira, Ribeira		42 33 16.32 N	8 59 27.37 W
Ribeira	Ribeira is a municipality in the province A Coruña, Galicia, Spain.	42 32 38.31 N	9 00 06.92 W
Ricetto di Candelo		45 32 46.68 N	8 06 48.96 E
Rio Marina	Rio Marina is a village in Isola d'Elba Toscana in Italy	42 48 44.2 N	10 25 39.87 E
Riós	Riós is a municipality in Galicia, in the province of Ourense.	41 58 29.53 N	7 16 55.68 W
Río Tambre		42 54 20.32 N	8 41 43.21 W
Risiera di San Sabba	La Risiera di San Sabba è stato un campo di concentramento nazista, attivo negli ultimi anni della seconda guerra mondiale a Trieste, Italia.	45 37 26.09 N	13 47 22.1 E
Robben Island	Robben Island, Cape Town, South Africa	33 48 24.24 S	18 21 58.4 E
Rocca Grimalda	Rocca Grimalda è un comune dell'Alto Monferrato, in provincia di Alessandria, Piemonte, Italia.	44 40 17.48 N	8 38 55.11 E
Rodeiro	Rodeiro is a municipality in Galicia, Spain in the province of Pontevedra.	42 39 00.44 N	7 56 59.94 W
Roman Bridge (Saint-Thibéry)	Old mill nearby	43 23 34.39 N	3 25 58.21 E
Roman Bridge (Vaison-la-Romaine)	The Roman Bridge at Vaison-la-Romaine is a bridge across the Ouvèze in the Vaucluse department, Provence, France.	44 14 20.3 N	5 04 28.7 E
Roman Theatre of Catania		37 30 10.4 N	15 05 00.9 E
Roujan	Roujan is a commune of the Hérault département in the Region of Languedoc-Roussillon - France.	43 30 32.5 N	3 17 15.15 E
Rudyerd Bay	Borough di Ketchikan Gateway, Alaska	55 35 23 N	130 44 45 W
Ruhlsdorf (Teltow)	Former town hall	52 22 28.71 N	13 16 04.56 E
Russian Jack Springs Park, Anchorage, Alaska		61 12 21 N	149 47 18 W
Sacrario Militare di Redipuglia		45 51 05.58 N	13 29 22.49 E
Sada	Sada is a municipality in the province A Coruña, Galicia, Spain.	43 21 01.43 N	8 15 16.23 W
Safranbolu	Safranbolu is a city and district of Karabük Province, Turkey.	41 14 41 N	32 41 37 E
Sagrada Família		41 24 13 N	2 10 27.05 E
Sainte-Chapelle		48 51 20 N	2 20 41 E
Saint-Michel de Nahuze	Prieuré du XIe siècle, situé sur la commune de Lagrasse (département de l'Aude), dont les ruines ont été inscrites comme monument historique	43 07 56.82 N	2 37 06.38 E
Saint-Nazaire-de-Ladarez	Saint-Nazaire-de-Ladarez is a commune of the Hérault département, France.	43 30 37 N	3 04 36 E
Salt Lake Temple	The Salt Lake Temple, the sixth temple built by the church overall, and the fourth operating temple, is the largest and best-known temple of The Church of Jesus Christ of Latter-day Saints.	40 46 13.69 N	111 53 31.06 W
San Amaro	San Amaro is a municipality in Galicia, in the province of Ourense.	42 22 20.07 N	8 04 23.65 W
San Clodio, Leiro		42 22 02.61 N	8 06 54.12 W
San Cristovo de Cea	San Cristovo de Cea is a municipality in Galicia, in the province of Ourense.	42 28 33.22 N	7 59 07.24 W
Sandiás	Sandiás is a municipality in Galicia, in the province of Ourense.	42 06 38.53 N	7 45 28.41 W
San Giorgio in Lemine	San Giorgio in Lemine is a church in the comune of Almenno San Salvatore, Bergamo, Lombardy, Italy	45 44 46 N	9 35 50 E
Sankt Martini		53 04 30 N	8 48 15 E
San Marco (Milan)		45 28 23.77 N	9 11 20 E
San Sadurniño	San Sadurniño is a municipality of Spain in the province of A Coruña, in the autonomous community of Galicia.	43 33 44.93 N	8 03 17.21 W
Santa Maria degli Scalzi (Venice)		45 26 29.4 N	12 19 19.56 E
Santa Maria dei Servi (Padua)		45 24 16.56 N	11 52 32.63 E
Sant'Anastasia	Sant'Anastasia è una chiesa di Roma.	41 53 17.6 N	12 29 03 E
Santiago de Chile	Santiago is the capital of Chile, it is also the country's industrial and commercial center.	33 27 00 S	70 40 00 W
Sanxenxo		42 24 19.2 N	8 48 23.66 W
Sarreaus		42 05 13.93 N	7 36 10.99 W
Sarria		42 46 38.13 N	7 24 54.31 W
Schallenberg		46 49 34 N	7 47 50 E
Schenkendorfstraße	The Schenkendorfstraße is a street in Munich, part of the Mittlerer Ring around the city centre.	48 10 34.21 N	11 35 29.04 E
Schenkenhorst (Stahnsdorf)	Former town hall	52 20 28.05 N	13 11 46.85 E
Schloss Eutin	The Castle of Eutin is located in Eutin in Schleswig-Holstein.	54 08 15.75 N	10 37 13.22 E
Schloss Hüffe	Schloss Hüffe ist ein Ende des 13. Jahrhunderts errichtetes Wasserschloss in der Ortschaft Lashorst der Stadt Preußisch Oldendorf im Kreis Minden-Lübbecke.	52 20 05.99 N	8 30 55.72 E
Schloss Kalkum	Schloss Kalkum is a water castle in Kalkum in the north of Düsseldorf, about two kilometers northeast of Kaiserwerth.	51 18 14.9 N	6 45 26.7 E
Schlosskirche (Neustrelitz)	Die Neustrelitzer Schlosskirche wurde durch Friedrich Wilhelm Buttel erbaut und ist dessen Hauptwerk in der Stadt.	53 21 35 N	13 03 32 E
Schloss Nymphenburg	Nymphenburg Palace is a château in Munich.	48 09 29 N	11 30 13 E
Schloss Petershagen	Das Schloss Petershagen in Petershagen ist ein Wasserschloss im Stil der Weserrenaissance.	52 22 46.16 N	8 58 18.62 E
Schlossplatz Stuttgart		48 46 42.81 N	9 10 47.45 E
Schloss Rosenstein		48 48 26 N	9 11 22 E
Schönfließ (Mühlenbecker Land)		52 39 23.04 N	13 20 21.84 E
Serpentine Glacier	Chugach National Forest, Alaska	61 07 41 N	148 16 02 W
Serres d'Auteuil	The Jardin des serres d'Auteuil is a botanical garden in the Bois de Boulogne, Paris 16th, located at 3 avenue de la Porte d'Auteuil and 1 avenue Gordon-Bennett.	48 50 49 N	2 15 8 E
Sestri Levante	Sestri Levante is a town in Liguria in Italy.	44 16 17.76 N	9 23 33 E
Shokeda	Shokeda is a religious settlement in Israel, in north-west part of Negev, south to Sderot and east to the Gaza Strip.	31 25 19.56 N	34 31 28.2 E
Sigüeiro, A Barciela, Oroso		42 58 06.42 N	8 26 33.39 W
Silleda		42 41 49.46 N	8 14 50.28 W
Singapore	Singapore is a city state at the southern tip of peninsular Malaysia. It is an island approximately 40 by 20 km in size inhabited by more than five million people.	1 18 00 N	103 48 00 E
Singapore Zoo	Singapore Zoo / Mandai Zoo	1 24 15.9 N	103 47 28.1 E
Sistiana	Sistiana is a town near Trieste.	45 46 09.98 N	13 38 01.98 E
Sistine Chapel	The Sistine Chapel is located in the Vatican and is decorated with frescoes by Michelangelo.	41 54 11 N	12 27 16 E
Site des missiles Plutons Bourogne-Meroux		47 34 54.94 N	6 54 17.69 E
Sixmile Creek (Alaska)	Kenai Peninsula, Alaska	60 54 18 N	149 25 36 W
Sohland am Rotstein	Sohland am Rotstein is a municipality in Saxony, Germany.	51 07 00 N	14 47 00 E
Sopron	Sopron (pronounced "shop-ron"; German: Ödenburg) is a city in Hungary near the Austrian border.	47 41 12 N	16 34 49 E
Spenge	Spenge is a northrhine-westphalian town in the administrative district Kreis Herford.	52 08 33.29 N	8 28 59.9 E
Spišský hrad	The ruins of Spiš Castle are situated above the town of Spišské Podhradie and the village of Žehra in the Spiš region in eastern Slovakia.	48 59 58.5 N	20 46 03.3 E
Spreenhagen	Village Pub	52 20 28.62 N	13 52 50.12 E
Sputendorf	Former town hall	52 20 20.99 N	13 13 11.05 E
Stadium of Epidaurus		37 35 51.77 N	23 04 27.8 E
Städtisches Lapidarium Stuttgart		48 46 03.36 N	9 10 04.58 E
Stadtplatz (Steyr)		48 02 20.42 N	14 25 08.89 E
Staffelde		52 43 47.5 N	12 59 23.57 E
Stalis	Stalis is a small resort village on the island of Crete thirty kilometers from the capital Heraklion, located on the north side of the island.	35 17 47.4 N	25 25 25.9 E
State Bank of Indiana, Terre Haute branch		39 27 55 N	87 24 52.5 W
Stefanskyrkan, Stockholm		59 20 51.38 N	18 03 16.7 E
Steigfriedhof	The Steigfriedhof is a cemetery in the Stadtbezirk Bad Cannstatt in Stuttgart.	48 48 41.9 N	9 12 28.95 E
Stift Göttweig	Göttweig Abbey is a Benedictine monastery in Lower Austria.	48 22 00.2 N	15 36 45.5 E
St. Jürgenskirche (Lilienthal)	The church of St. Jürgen is in the same named district of Lilienthal in the county of Osterholz in Lower Saxony, Germany.	53 10 36 N	8 48 29 E
St. Maria in der Kupfergasse	St. Maria in der Kupfergasse is a baroque church in Cologne.	50 56 23.2 N	6 57 01.04 E
Stockholms stadshus		59 19 38.57 N	18 03 15.67 E
Stockholms universitet	Stockholm University, founded 1878, with about 37,000 students.	59 21 46.68 N	18 03 31.4 E
St. Peter und Paul (Grettstadt)		49 59 06.21 N	10 18 44.87 E
Süleymaniye camii	The Mosque of Suleiman I in Istanbul.	41 00 58.3 N	28 57 50 E
Sultanahmet Camii	The Sultan Ahmed Mosque (in Turkish Sultanahmet Camii, in English commonly called the Blue Mosque) is a mosque in Istanbul.	41 00 19.39 N	28 58 36.57 E
Synchrotron Soleil		48 42 33 N	2 08 41 E
Tarancón	Tarancón village and municipality in the province of Cuenca, part of the autonomous community of Castile-La Mancha, Spain.	40 00 45.89 N	3 00 14.85 W
Teixido, Cedeira		43 42 36.72 N	7 59 00.44 W
Templer Cemetery, Jerusalem	Jerusalem, German Colony, Emek Refaim street 39	31 45 47.46 N	35 13 08.68 E
