116/122/A-180 Z light pillbox		49 57 30.7 N	14 05 23.85 E
Château de Chambord		47 36 58.22 N	1 31 03.25 E
Château de Chamerolles		48 03 37.08 N	2 09 51.01 E
Château de Chantilly		49 11 38 N	2 29 09 E
Château de Châteaudun		48 04 14 N	1 19 25 E
Château de Chenonceau		47 19 30 N	1 04 14.16 E
Château de Cheverny		47 30 01 N	1 27 29 E
Château de Chinon		47 10 05 N	0 14 10 E
Château de Cléron		47 05 16 N	6 03 27 E
Château de Condé		49 00 20 N	3 33 34 E
Château de Crussol	The Château de Crussol is a castle in the Ardèche départment of France.	44 56 18 N	4 51 09 E
Château de Domfront		48 35 39 N	0 39 09 W
Château d'Effiat	The château d'Effiat in Puy de Dôme, Auvergne, France.	46 02 37 N	3 15 06 E
Château de Fontainebleau	The Château of Fontainebleau is the largest of the French royal châteaux.	48 24 08 N	2 42 02 E
Château de Frontenay		46 47 08.88 N	5 37 05.88 E
Château de Gevrey-Chambertin		47 13 46 N	4 57 56 E
Château de Lagarde		43 03 02 N	1 56 08.5 E
Château de Langeais	The Château de Langeais in the Loire Valley	47 19 29.28 N	0 24 21.96 E
Château de l'Arthaudière	The Château de l'Arthaudière is a castle in the Isère départment of the Rhône-Alpes région of France.	45 07 09 N	5 13 59 E
Château de Loches	The Château de Loches in Loches is a château of the Loire Valley. The castle area, consisting of three buildings, among them one the oldest keeps in France, is one of the best preserved European architecture ensembles of the Middle Ages.	47 07 37 N	0 59 54 E
Château de Maintenon		48 35 08 N	1 34 41 E
Château de Malmaison	Château de Malmaison was the place of residence of Joséphine de Beauharnais and Napoleon Bonaparte	48 52 15 N	2 10 01 E
Château de Montfaucon		47 14 46.32 N	6 04 42.24 E
Château de Murol		45 34 42 N	2 56 43 E
Château de Pagax		44 36 29.88 N	2 15 06.98 E
Château de Puivert		42 55 16.21 N	2 03 17.82 E
Château des Adhémar		44 33 33.02 N	4 45 15.35 E
Château de Saint-Germain-en-Laye	The Château de Saint-Germain-en-Laye is a former royal residence in Saint-Germain-en-Laye, located ca. 19 km to the west of Paris. Nowadays it serves as Musée des Antiquités Nationales.	48 53 53 N	2 05 47 E
Château de Saint-Izaire	The Château de Saint-Izaire is a castle in the Saint-Izaire commune of the Aveyron département of France	43 58 31 N	2 43 10 E
Château de Saissac	The Château de Saissac is a Cathar castle in the Saissac commune, Aude département of France.	43 21 25 N	2 10 04.7 E
Château de Suscinio		47 30 46 N	2 43 46 W
Château de Suze-la-Rousse		44 17 14.64 N	4 50 11.62 E
Château de Thorens	The Château de Thorens is a castle in the commune of Thorens-Glières in the Haute-Savoie département of France.	45 59 37 N	6 15 20 E
Château de Valençay	The Château de Valençay is one of the châteaux of the Loire Valley in the french region Centre.	47 09 27 N	1 33 48 E
Château de Varillettes	The Château de Varillettes is a château in the Cantal.	45 01 26.76 N	3 08 53.16 E
Château de Vaux-le-Vicomte		48 33 53.46 N	2 42 50.4 E
Château de Wangenbourg	The castle of Wangenbourg is a mediaeval castle in Wangenbourg-Engental, Bas-Rhin, France.	48 37 15 N	7 18 51 E
Château d'Harcourt	The Château d'Harcourt is a castle located in the commune of Harcourt in the Eure département of France	49 10 26 N	0 47 11 E
Château d'If		43 16 47.5 N	5 19 30.5 E
Château du Haut-Kœnigsbourg	The castle of Haut-Kœnigsbourg is a mediaeval castle located in Orschwiller, France.	48 14 58 N	7 20 39 E
Château d'Ussé	The Château d'Ussé is a château of the Loire Valley in Rigny-Ussé.	47 14 59 N	0 17 28 E
Château-Gaillard	Château-Gaillard is a castle in Les Andelys (Normandie, France).	49 14 17.26 N	1 24 09.91 E
Chena Hot Springs, Alaska		65 03 10 N	146 03 19 W
Chiesa di Sant'Antonio in Caggiano	Church of Saint Anthony in Caggiano.	40 34 04.13 N	15 29 39.47 E
Chioggia	Chioggia is a town in Veneto in Italy.	45 13 04.23 N	12 16 36.76 E
